,price,year,origin,firstCirculationDate,technicalControl,firstHand,mileage,energy,gearbox,externalColor,doors,seats,length,trunkVolumeRange,consumption,co2
972,29970,2023,France,26/06/2023,Non requis,Oui,8944,Diesel,Manuelle,GRIS ARTENSE,5.0,5.0,4.3,Moyen Coffre,4.4,116.0
973,48050,2022,France,25/09/2022,Non requis,Non,56388,Electrique,Automatique,gris foncé,5.0,5.0,4.46,Petit coffre,,
974,64900,2020,France,28/05/2020,Non requis,Non,58696,Diesel,Automatique,noir,5.0,5.0,4.75,Moyen Coffre,6.4,170.0
975,81700,2019,Importé,26/05/2019,Requis,Non,66372,Essence,Automatique,blanc,5.0,5.0,4.68,Moyen Coffre,8.9,199.0
976,13900,2010,France,27/10/2010,Requis,Non,104860,Essence,Manuelle,rouge metal,5.0,5.0,4.24,Moyen Coffre,6.6,153.0
977,17380,2017,Importé,18/09/2017,Requis,Oui,92089,Diesel,Manuelle,blanc,5.0,,,,,109.0
978,15710,2020,France,07/02/2020,Non requis,Oui,54465,Essence,Manuelle,noir,5.0,5.0,3.97,Grand coffre,4.7,108.0
979,20890,2022,France,15/12/2022,Non requis,Oui,43467,Essence,Automatique,Sable (nacré),5.0,5.0,4.0,Grand coffre,6.0,133.0
980,71670,2020,France,04/12/2020,Non requis,Non,44919,Diesel,Automatique,noir,5.0,5.0,4.99,Moyen Coffre,6.7,166.0
981,15320,2020,France,27/08/2020,Non requis,Oui,35282,Essence,Manuelle,noir metal,5.0,5.0,4.06,Grand coffre,5.0,113.0
982,23770,2024,France,16/09/2024,Non requis,Non,12,Essence,Manuelle,Gris,4.0,5.0,4.11,Grand coffre,5.1,118.0
983,54720,2021,France,14/04/2021,Non requis,Oui,39017,Hybride essence électrique,Automatique,Bleu,5.0,5.0,4.66,Moyen Coffre,,
984,46720,2024,France,06/09/2024,Non requis,Oui,2840,Diesel,Automatique,bleu,4.0,7.0,4.64,Grand coffre,5.6,147.0
985,24970,2019,Importé,18/03/2019,Requis,Oui,98770,Diesel,Automatique,gris anthracite metal,5.0,5.0,4.63,Moyen Coffre,4.2,111.0
986,92180,2022,Importé,01/02/2022,Non requis,Non,56396,Hybride essence électrique,Automatique,noir,5.0,5.0,4.88,Moyen Coffre,,
987,15130,2018,France,23/06/2018,Requis,Oui,114102,Diesel,Manuelle,gris,5.0,5.0,4.34,Moyen Coffre,4.2,119.0
988,55040,2023,France,02/05/2023,Non requis,Oui,13898,Hybride essence électrique,Automatique,beige metal,5.0,5.0,4.74,Moyen Coffre,,
989,21230,2022,France,21/06/2022,Non requis,Oui,63011,Diesel,Manuelle,BLANC BANQUISE,5.0,5.0,4.16,Moyen Coffre,4.7,122.0
990,32920,2017,France,31/10/2017,Requis,Non,44363,Diesel,Manuelle,blanc,2.0,3.0,5.82,,8.7,232.0
991,33060,2015,Importé,11/11/2015,Requis,Non,218242,Diesel,Automatique,bleu,5.0,5.0,4.85,Moyen Coffre,6.7,194.0
992,28870,2020,Importé,07/07/2020,Non requis,Non,46434,Essence,Automatique,gris,5.0,7.0,4.64,Grand coffre,5.1,109.0
993,18540,2021,France,31/07/2021,Non requis,Oui,34185,Essence,Manuelle,Gris Pierre de Lune,5.0,5.0,4.06,Grand coffre,5.5,125.0
994,55010,2024,France,11/01/2025,Non requis,Oui,10494,Diesel,Automatique,noir,5.0,5.0,4.77,Moyen Coffre,5.2,151.0
995,25790,2021,France,22/01/2022,Non requis,Oui,97200,Diesel,Automatique,noir,5.0,3.0,4.4,,,157.0
996,15100,2020,France,11/03/2020,Non requis,Non,114821,Essence,Manuelle,Sable (nacré),5.0,5.0,4.16,Moyen Coffre,4.7,106.0
997,27930,2024,France,02/06/2024,Non requis,Oui,2318,Essence,Manuelle,gris clair,4.0,5.0,4.06,Moyen Coffre,5.1,114.0
998,17080,2017,France,08/01/2018,Requis,Non,92767,Essence,Manuelle,blanc,5.0,5.0,4.16,Moyen Coffre,3.9,103.0
999,30460,2023,Importé,07/04/2023,Non requis,Non,25683,Hybride essence électrique,Manuelle,gris,5.0,,,,,
1000,19780,2020,Importé,27/05/2020,Non requis,Oui,64945,Diesel,Manuelle,bleu clair,5.0,5.0,,,,
1001,12660,2019,Importé,20/03/2019,Requis,Non,105535,Essence,Manuelle,blanc,5.0,,,,,109.0
1002,44000,2024,France,02/02/2024,Non requis,Oui,1,Diesel,Manuelle,blanc,4.0,3.0,5.55,,8.3,217.0
1003,17890,2020,France,21/04/2020,Non requis,Oui,36990,Essence,Manuelle,gris foncé,5.0,5.0,4.16,Moyen Coffre,4.8,104.0
1004,23760,2022,France,12/09/2022,Non requis,Oui,37108,Essence,Manuelle,jaune,5.0,5.0,4.06,Grand coffre,5.3,119.0
1005,276730,2020,France,02/11/2020,Non requis,Oui,5424,Essence,Automatique,rouge,2.0,4.0,4.59,Moyen Coffre,10.7,245.0
1006,27540,2018,France,05/08/2018,Requis,Oui,130157,Diesel,Manuelle,blanc verni,2.0,4.0,5.27,,6.4,184.0
1007,42380,2017,France,20/06/2017,Requis,Oui,52873,Hybride essence électrique,Automatique,noir,5.0,5.0,4.89,Moyen Coffre,,
1008,20320,2011,France,07/02/2011,Requis,Non,237978,Diesel,Automatique,gris,5.0,5.0,4.84,Moyen Coffre,8.3,244.0
1009,128700,2024,Importé,08/11/2024,Non requis,Oui,114,Essence,Automatique,noir metal,4.0,,,,,
1010,14870,2010,France,03/10/2010,Requis,Non,111600,Essence,Manuelle,noir metal,3.0,4.0,4.26,Moyen Coffre,6.4,149.0
1011,76040,1964,France,02/08/1963,Requis,Non,13076,Essence,Manuelle,rouge,2.0,2.0,,,,
1012,28290,2021,Importé,01/10/2021,Non requis,Non,54936,Diesel,Automatique,noir,5.0,5.0,4.3,Moyen Coffre,4.9,129.0
1013,48230,2020,France,18/09/2020,Non requis,Oui,51462,Diesel,Automatique,noir metal,5.0,5.0,4.6,Moyen Coffre,4.9,128.0
1014,37500,2024,France,15/09/2024,Non requis,Oui,5644,Essence,Automatique,GRIS TITANE,4.0,5.0,4.69,Grand coffre,6.0,135.0
1015,18680,2023,Importé,09/07/2023,Non requis,Non,18546,Essence,Manuelle,blanc,5.0,,,,,123.0
1016,43380,2023,France,11/01/2024,Non requis,Oui,14915,Essence,Automatique,argent,5.0,5.0,4.34,Grand coffre,5.6,135.0
1017,21480,2018,France,11/01/2019,Requis,Non,80680,Essence,Manuelle,blanc,5.0,5.0,4.45,Moyen Coffre,4.5,117.0
1018,31970,2023,France,15/06/2023,Non requis,Non,12157,Essence,Automatique,blanc,5.0,5.0,4.03,Grand coffre,5.9,133.0
1019,23050,2021,France,08/09/2021,Non requis,Oui,63216,Diesel,Manuelle,platine,5.0,7.0,4.64,Petit coffre,5.5,146.0
1020,26640,2023,Importé,22/01/2024,Non requis,Oui,22377,Essence,Automatique,vert metal,5.0,5.0,4.15,Petit coffre,5.9,134.0
